SP.ID,SP.DATE,HAY.FAT,HAY.WAC5,HAY.WAC24,HAY.N,HAY.RESISTANCE,HAY.STRUCTURE,HAY.HEMI,HAY.CELLULOSE,PRESP.FAT,PRESP.WAC5,PRESP.WAC24,PRESP.N,PRESP.RESISTANCE,PRESP.STRUCTURE,PRESP.HEMI,PRESP.CELLULOSE,SP.FAT,SP.WAC5,SP.WAC24,SP.N,SP.RESISTANCE,SP.STRUCTURE,SP.HEMI,SP.CELLULOSE,PH2.CELLULOSE,PH2.ID
248,02/26/2020,1.3,3.14,3.22,1.35,4.82,0.58,28.56,36.16,1.1,7.71,9.21,1.14,2.27,0.56,36.26,29.92,1.1,9.65,10.40,1.34,2.05,0.57,35.62,29.55,20.18,67
255,03/03/2020,1.4,3.20,3.35,1.64,3.66,0.57,29.87,32.91,1.3,7.99,10,0.98,1.98,0.57,39.37,29.93,1.1,6.97,8.51,0.86,2.5,0.56,35.96,29.7,21.65,75
265,03/13/2020,1.2,3.27,3.41,1.50,4.27,0.59,28.40,37.49,1.0,8.29,10.40,1.19,2.33,0.56,39.55,27.68,1.3,12.53,15.83,0.76,1.79,0.58,46.71,25.05,21.26,83
271,03/19/2020,1.6,3.14,3.21,1.45,4.01,0.58,29.97,33.84,1.4,10.27,13.20,0.40,1.89,0.59,46.81,26.36,1.3,11.30,14.00,0.79,1.59,0.54,44.15,21.54,20.84,87
276,03/27/2020,1.4,3.08,3.15,1.63,3.78,0.57,28.09,33.66,1.3,9.10,12.08,0.37,2.23,0.58,43.88,28.28,1.0,7.80,8.82,1.03,2.44,0.56,34.16,30.12,27.35,92
289,04/08/2020,1.4,3.12,3.20,1.62,4.26,0.57,28.65,32.97,1.0,6.52,8.07,0.88,2.79,0.56,34.62,30.33,1.2,9.42,11.67,0.72,2.10,0.56,39.20,29.12,25.94,103
305,04/10/2020,1.3,3.07,3.19,1.58,4.07,0.57,26.73,35.00,0.9,6.09,6.90,1.07,3.21,0.61,30.68,39.59,1.1,7.11,8.64,1.12,2.50,0.59,35.73,34.50,22.97,115
306,04/10/2020,1.3,2.96,3.20,1.19,5.25,0.59,29.81,36.37,1.3,9.73,11.98,0.87,1.82,0.57,40.78,29.93,1.0,7.76,9.32,1.17,2.30,0.56,34.69,30.31,22.78,116
313,05/04/2020,1.0,2.93,3.28,1.10,5.79,0.61,30.04,38.80,1.3,8.40,11.10,0.66,2.11,0.57,43.68,26.84,1.2,10.13,12.01,1.17,2.01,0.55,39.02,25.53,22.46,121
318,05/08/2020,1.3,3.08,3.19,1.59,4.13,0.56,27.52,33.70,1.2,8.53,10.16,1.32,2.19,0.57,38.30,29.11,1.2,8.40,9.68,1.22,2.04,0.55,36.11,26.93,22.33,125
319,05/13/2020,1.3,2.90,3.18,1.42,4.93,0.57,28.37,33.63,1.2,6.90,7.95,1.04,2.79,0.61,31.92,39.74,1.1,9.31,10.42,1.38,2.08,0.55,35.97,26.20,22.65,131
327,05/18/2020,1.2,3.16,3.25,1.31,4.96,0.58,28.03,37.32,1.3,9.15,10.90,0.94,2.09,0.58,37.54,32.94,1.1,7.86,9.19,1.21,2.09,0.54,34.68,27.58,22.90,133
329,05/21/2020,1.4,3.16,3.26,1.57,4.15,0.56,28.70,32.44,1.2,7.46,9.23,0.92,2.15,0.55,38.77,27.16,1.3,7.52,9.28,0.90,2.18,0.57,38.21,31.56,25.28,137
331,05/21/2020,1.2,3.21,3.37,1.18,5.63,0.59,28.49,37.46,1.2,7.70,9.87,0.67,2.41,0.55,41.13,26.13,1.2,9.03,10.33,1.33,2.09,0.56,36.38,28.78,26.76,138
335,05/26/2020,1.4,3.05,3.23,1.23,4.96,0.58,28.12,35.88,0.9,4.44,5.61,0.81,3.11,0.53,29.11,30.37,1.2,8.70,10.46,0.82,2.06,0.57,37.22,31.51,24.97,146
343,06/03/2020,1.3,2.77,3.03,1.70,4.55,0.57,27.96,34.44,1.2,8.61,10.86,0.53,2.26,0.58,39.23,33.16,1.5,12.15,16.47,0.00,2.01,0.64,53.60,27.48,24.67,147
345,06/05/2020,1.2,3.19,3.21,1.29,5.36,0.59,27.35,38.09,0.9,6,6.71,1.38,2.85,0.55,27.99,31.95,1.2,11.72,13.43,1.23,1.93,0.58,39.38,29.51,27.79,162
367,06/22/2020,1.4,3.21,3.33,1.41,4.43,0.56,27.90,33.41,1.4,10.09,13.17,0.55,1.98,0.58,47.35,23.49,0.9,7.19,8.84,0.95,2.47,0.54,35.40,25.91,27.58,173
379,07/03/2020,1.2,3.15,3.07,1.75,3.31,0.55,25.31,33.44,1.1,7.66,9.77,0.72,2.46,0.56,37.59,29.54,1.2,10.09,12.27,0.90,1.93,0.56,39.57,28.03,27.69,174
380,07/06/2020,1.3,3.08,3.28,1.28,5.73,0.59,28.67,36.83,1.0,6.47,7.45,1.30,2.24,0.52,32.19,24.98,1.1,8.60,9.76,1.27,1.95,0.54,34.63,26.32,27.93,179
388,07/14/2020,1.3,3.11,3.18,1.50,4.41,0.56,27.80,33.89,1.2,7.07,8.98,0.82,2.45,0.58,38.14,32.00,1.3,11.52,13.89,1.06,1.71,0.57,42.49,26.92,24.29,180
389,07/16/2020,1.3,3.10,3.15,1.56,3.76,0.57,27.75,34.36,1.2,7.64,9.80,0.69,2.07,0.56,39.12,28.84,1.4,15.44,18.99,0.63,1.60,0.62,50.55,27.02,24.29,186
398,07/20/2020,1.2,3.22,3.24,1.49,4.50,0.57,27.46,35.12,1.1,6.91,8.11,1.19,2.20,0.54,32.85,28.98,1.1,8.46,9.62,1.28,2.16,0.56,33.67,29.72,24.47,190
402,7/30/2020,1.3,3.19,3.21,1.61,3.80,0.57,27.08,36.00,1.2,7.99,9.95,0.91,2.16,0.56,38.72,28.67,1.3,11.95,13.63,1.16,1.70,0.57,38.32,30.59,25.31,192
403,8/5/2020,0.9,2.98,2.97,1.70,3.86,0.56,24.12,35.02,1.2,8.47,10.64,0.87,2.29,0.58,40.22,30.48,1.3,9.92,12.09,0.90,1.92,0.58,40.50,30.95,25.74,199
411,8/7/2020,1.1,3.09,3.34,1.13,6.44,0.60,28.82,39.72,1.1,8.05,9.58,0.89,2.62,0.60,38.13,34.58,1.2,10.68,12.91,0.90,2.10,0.58,42.09,28.72,26.77,200
412,8/10/2020,1.2,3.16,3.19,1.46,4.53,0.58,27.88,35.36,1.1,7.73,9.70,0.96,2.31,0.56,38.25,29.13,1.2,9.05,10.58,1.14,2.13,0.58,36.72,31.57,26.76,203
0,8/12/2020,1.1,6.04,7.40,0.94,2.77,0.58,34.89,33.38,1.1,6.04,7.40,0.94,2.77,0.58,34.89,33.38,1.3,7.91,9.72,1.04,2.03,0.55,40.36,26.18,25.59,207
419,8/14/2020,1.4,3.11,3.02,2.00,2.78,0.54,26.59,29.20,0.9,6.67,7.77,1.00,2.80,0.57,32.35,33.73,1.2,13.35,16.48,1.05,1.64,0.54,44.97,19.79,26.34,208
420,8/18/2020,1.2,3.05,3.15,1.52,4.57,0.57,27.82,34.75,1.0,7.05,8.60,0.93,2.93,0.59,35.29,35.31,1.2,10.92,13.04,1.05,1.90,0.56,40.13,26.87,24.94,214
428,8/26/2020,1.5,3.23,3.11,1.93,2.61,0.54,27.39,29.16,0.8,6.95,8.02,1.02,2.89,0.56,31.06,32.04,1.1,8.78,9.76,1.33,2.22,0.56,34.40,29.87,24.19,225
429,8/28/2020,1.1,3.10,3.05,1.67,3.81,0.56,26.14,34.17,1.3,14.00,17.53,0.86,1.85,0.58,54.38,17.90,1.4,14.61,18.14,0.71,1.62,0.61,46.98,30.20,26.52,238
442,9/10/2020,1.3,3.10,3.20,1.29,4.72,0.58,28.25,36.28,1.3,8.72,10.76,1.26,2.07,0.55,43.95,23.19,1.1,8.47,9.81,1.22,2.31,0.57,35.43,30.03,25.02,239
6,9/22/2020,1.2,2.99,3.02,1.59,3.51,0.55,27.03,32.98,1.3,10.75,13.55,0.81,2.03,0.60,45.60,28.90,1.3,9.85,12.25,0.62,2.04,0.59,41.50,31.31,24.68,245
14,9/29/2020,1.4,2.94,3.25,1.21,4.93,0.58,28.95,35.55,1.1,7.90,9.48,1.09,2.21,0.57,36.40,30.01,1.1,7.76,8.96,1.33,2.20,0.55,34.70,27.97,27.30,246
15,10/2/2020,1.4,3.04,3.21,1.52,4.46,0.57,28.23,35.06,1.3,11.29,14.75,0.43,1.96,0.58,48.94,22.41,1.2,11.69,13.60,1.14,1.93,0.59,40.48,31.68,25.98,248
19,10/6/2020,1.2,3.13,3.24,1.64,3.88,0.56,27.19,33.97,1.3,7.37,9.42,0.84,2.18,0.57,40.18,29.21,1.2,8.55,10.45,0.94,2.05,0.55,36.82,28.38,25.60,249
20,10/8/2020,1.4,2.88,3.07,1.74,3.87,0.57,27.38,34.57,1.3,8.10,9.90,0.87,2.26,0.58,39.94,31.15,1.2,9.19,10.67,1.24,2.02,0.56,37.67,28.31,26.63,253
25,10/15/2020,1.5,3.14,3.28,1.30,5.13,0.58,29.24,34.90,1.1,5.62,6.91,0.84,2.78,0.56,33.69,31.03,1.2,9.79,11.43,1.29,1.99,0.58,38.82,29.67,26.24,255
27,10/20/2020,1.6,2.90,3.15,1.51,4.23,0.57,29.06,33.82,0.9,5.46,6.51,0.95,3.01,0.57,30.31,34.93,1.1,7.91,9.34,1.16,2.29,0.55,35.48,28.55,23.09,278
54,11/3/2020,1.2,3.13,3.31,1.14,5.33,0.58,28.54,36.86,0.9,5.96,7.08,0.88,2.91,0.57,30.51,35.72,1.1,8.52,9.89,1.26,1.97,0.56,32.99,31.52,23.73,281
60,11/5/2020,1.6,2.88,3.24,1.42,4.90,0.59,30.07,35.93,1.1,6.72,8.41,0.75,2.58,0.57,35.09,32.34,1.3,9.32,11.08,1.10,1.98,0.57,38.50,29.31,22.80,282
