P.NH3,PH2.DM.TVN,PH2.DATE
1.192,0.335,2/25/2020
1.139,0.27,2/26/2020
1.231,0.11,3/3/2020
0.688,0.05,3/20/2020
0.261,0,4/8/2020
1.341,0.08,4/9/2020
1.217,0,4/10/2020
1.142,0,4/14/2020
0.939,0.01,4/16/2020
0.715,0,4/18/2020
1.346,0,4/22/2020
1.007,0,4/28/2020
0.582,0,5/5/2020
0.985,0,5/12/2020
0.714,0,5/14/2020
0.929,0.06,5/15/2020
0.87,0,5/18/2020
0.394,0.01,6/26/2020
1.048,0,7/3/2020
0.77,0,7/6/2020
1.648,0,7/7/2020
1.264,0,7/25/2020
0.738,0,8/18/2020
0.525,0,8/24/2020
0.721,0,8/25/2020
0.648,0,8/27/2020
0.447,0,8/31/2020
0.858,0,9/2/2020
1.174,0,9/3/2020
0.959,0,9/11/2020
0.593,0,9/10/2020
0.492,0,9/21/2020
0.769,0,9/22/2020
0.92,0,9/22/2020
0.962,0,9/23/2020
0.69,0,9/25/2020
0.903,0.03,9/28/2020
1.106,0,9/29/2020
0.692,0,10/5/2020
0.932,0.05,10/8/2020
0.72,0.1,10/12/2020
0.979,0.17,10/14/2020
0.973,0.04,10/15/2020
0.63,0.013,10/19/2020
0.753,0.09,10/20/2020
1.122,0.033,10/21/2020
0.745,0.02,10/22/2020
0.856,0.04,10/22/2020
1.564,0.01,10/28/2020
0.985,0.04,10/29/2020
0.427,0.01,11/2/2020
0.846,0,11/3/2020
0.926,0.15,11/17/2020
0.495,0.05,11/20/2020
0.743,0,11/23/2020
1.008,0.157,11/26/2020
0.493,0.14,11/30/2020
1.229,0.05,11/30/2020
1.395,0.05,12/14/2020
1.263,0.07,12/15/2020
0.732,0.17,12/17/2020
0.758,0.06,12/18/2020
1.033,0.01,12/23/2020
0.911,0.05,12/24/2020
1.238,0.03,12/26/2020
1.167,0,12/28/2020
1.111,0.23,12/30/2020
